"","LHS","RHS","support","confidence","lift","count"
"1","{ New Orleans LA}","{ Birmingham AL}",4.99450604335231e-05,1,2860.28571428571,1
"2","{ Birmingham AL}","{ New Orleans LA}",4.99450604335231e-05,0.142857142857143,2860.28571428571,1
"3","{ New Orleans LA}","{ Atlanta GA}",4.99450604335231e-05,1,953.428571428571,1
"4","{ Atlanta GA}","{ New Orleans LA}",4.99450604335231e-05,0.0476190476190476,953.428571428571,1
"5","{ New Orleans LA}","{Jacksonville FL}",4.99450604335231e-05,1,49.3152709359606,1
"6","{Jacksonville FL}","{ New Orleans LA}",4.99450604335231e-05,0.00246305418719212,49.3152709359606,1
"7","{ Pittsburgh PA}","{ Detroit MI}",4.99450604335231e-05,1,910.090909090909,1
"8","{ Detroit MI}","{ Pittsburgh PA}",4.99450604335231e-05,0.0454545454545455,910.090909090909,1
"9","{ Pittsburgh PA}","{ Cleveland OH}",4.99450604335231e-05,1,400.44,1
"10","{ Cleveland OH}","{ Pittsburgh PA}",4.99450604335231e-05,0.02,400.44,1
"11","{ Pittsburgh PA}","{ Madison WI}",4.99450604335231e-05,1,174.104347826087,1
"12","{ Madison WI}","{ Pittsburgh PA}",4.99450604335231e-05,0.00869565217391304,174.104347826087,1
"13","{ Pittsburgh PA}","{ Toledo OH}",4.99450604335231e-05,1,172.603448275862,1
"14","{ Toledo OH}","{ Pittsburgh PA}",4.99450604335231e-05,0.00862068965517241,172.603448275862,1
"15","{ Pittsburgh PA}","{ Fort Wayne IN}",4.99450604335231e-05,1,138.08275862069,1
"16","{ Fort Wayne IN}","{ Pittsburgh PA}",4.99450604335231e-05,0.00689655172413793,138.08275862069,1
"17","{ Pittsburgh PA}","{ Milwaukee WI}",4.99450604335231e-05,1,110.618784530387,1
"18","{ Milwaukee WI}","{ Pittsburgh PA}",4.99450604335231e-05,0.00552486187845304,110.618784530387,1
"19","{ Pittsburgh PA}","{Chicago IL}",4.99450604335231e-05,1,14.2505338078292,1
